#separator:Semicolon
#html:true
#tags column:3
#columns:Text;Extra;Tags
#notetype:_Cloze - DecEyeStrain
<b>Supramaximal stimulation</b> is confirmed at {{c1::<u>~20% above the maximal</u>}} stimulus level — the point at which no further increase in twitch height occurs with increasing current.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
Supramaximal current must be determined {{c1::<u>before NMBA administration</u>}} to ensure consistent and reliable nerve activation throughout monitoring.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF <b>4/4 equal twitches</b> → {{c1::<u><70%</u>}} receptor blockade — {{c2::<u>no or minimal</u>}} block.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF <b>4/4 twitches with fade</b> → {{c1::<u>>70%</u>}} receptor blockade — {{c2::<u>partial</u>}} block.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF <b>3/4 twitches</b> → approximately {{c1::<u>75–80%</u>}} receptor blockade.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF <b>2/4 twitches</b> → approximately {{c1::<u>80%</u>}} receptor blockade. <i>Target range for most ICU NMB indications.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF <b>1/4 twitches</b> → approximately {{c1::<u>90%</u>}} receptor blockade — <u>deep</u> block.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF <b>0/4 twitches</b> → approximately {{c1::<u>95%</u>}} receptor blockade — <u>profound</u> block. <i>Must exclude technical failure before assuming full paralysis.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
<b>Fade (T4 < T1)</b> on TOF is characteristic of {{c1::<u>non-depolarising</u>}} NMBAs (e.g. rocuronium, vecuronium). <i>Not seen in suxamethonium phase 1 block.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55 anzca::code::BT_GS_1.37
<b>Fade on TOF</b> is caused by {{c1::<u>progressive ACh depletion with each stimulus</u>}} — as the nerve runs low, the NMBA outcompetes ACh more easily, producing progressively weaker T1→T4.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55 anzca::code::BT_GS_1.35
<b>Uniform depression without fade</b> on TOF is characteristic of {{c1::<u>depolarising</u>}} NMBAs — suxamethonium {{c2::<u>phase 1</u>}} block — all four twitches equally depressed regardless of depth.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55 anzca::code::BT_GS_1.37
Very large or repeated doses of <b>suxamethonium</b> cause {{c1::<u>phase 2 block</u>}}, which mimics a {{c2::<u>non-depolarising</u>}} pattern and may produce {{c3::<u>fade</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.37
The typical ICU NMBA titration target is {{c1::<u>2/4</u>}} twitches — approximately {{c2::<u>80%</u>}} receptor blockade.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
<b>TOF monitoring frequency</b>: initially {{c1::<u>hourly</u>}}, after a dose change or bolus every {{c2::<u>15 minutes</u>}}, stable patient up to {{c3::<u>4-hourly</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
TOF dose adjustment: too many twitches → {{c1::<u>increase NMBA dose</u>}}; too few twitches → {{c2::<u>decrease NMBA dose</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
